Assay_Type	AvgSpotLen	BioSample	Experiment	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	Sex	individual	tissue	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	Platform	ReleaseDate	SRA_Study	source_name
RNA-Seq	50	SAMN08797930	SRX3849726	cDNA	TRANSCRIPTOMIC	2018-04-03	2547	2148	Pan troglodytes	SRR6900765	SRS3094225	GSM3068272	male	4x0519	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797929	SRX3849727	cDNA	TRANSCRIPTOMIC	2018-04-04	2785	2436	Pan troglodytes	SRR6900766	SRS3094226	GSM3068273	male	4x0519	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797928	SRX3849728	cDNA	TRANSCRIPTOMIC	2018-03-26	1980	1496	Pan troglodytes	SRR6900767	SRS3094227	GSM3068274	male	4x0519	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797926	SRX3849729	cDNA	TRANSCRIPTOMIC	2018-04-04	2351	1997	Pan troglodytes	SRR6900768	SRS3094229	GSM3068275	male	4x0519	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797925	SRX3849730	cDNA	TRANSCRIPTOMIC	2018-04-04	2547	2169	Pan troglodytes	SRR6900769	SRS3094230	GSM3068276	male	YN07-387	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797924	SRX3849731	cDNA	TRANSCRIPTOMIC	2018-04-04	2311	1978	Pan troglodytes	SRR6900770	SRS3094228	GSM3068277	male	YN07-387	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797922	SRX3849732	cDNA	TRANSCRIPTOMIC	2018-04-04	2755	2416	Pan troglodytes	SRR6900771	SRS3094233	GSM3068278	male	YN07-387	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797921	SRX3849733	cDNA	TRANSCRIPTOMIC	2018-04-04	3021	2579	Pan troglodytes	SRR6900772	SRS3094231	GSM3068279	male	YN07-387	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797919	SRX3849734	cDNA	TRANSCRIPTOMIC	2018-03-26	3351	2538	Pan troglodytes	SRR6900773	SRS3094232	GSM3068280	female	4x0516	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797918	SRX3849735	cDNA	TRANSCRIPTOMIC	2018-03-26	2537	1354	Pan troglodytes	SRR6900774	SRS3094234	GSM3068281	female	4x0516	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797916	SRX3849736	cDNA	TRANSCRIPTOMIC	2018-03-26	2057	1045	Pan troglodytes	SRR6900775	SRS3094235	GSM3068282	female	4x0516	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797915	SRX3849737	cDNA	TRANSCRIPTOMIC	2018-03-26	2266	1192	Pan troglodytes	SRR6900776	SRS3094236	GSM3068283	female	4x0516	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797913	SRX3849738	cDNA	TRANSCRIPTOMIC	2018-03-26	2415	1254	Pan troglodytes	SRR6900777	SRS3094237	GSM3068284	male	YN07-147	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797912	SRX3849739	cDNA	TRANSCRIPTOMIC	2018-03-26	2019	1049	Pan troglodytes	SRR6900778	SRS3094238	GSM3068285	male	YN07-147	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797910	SRX3849740	cDNA	TRANSCRIPTOMIC	2018-03-26	2041	1029	Pan troglodytes	SRR6900779	SRS3094239	GSM3068286	male	YN07-147	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797909	SRX3849741	cDNA	TRANSCRIPTOMIC	2018-03-26	2337	1765	Pan troglodytes	SRR6900780	SRS3094241	GSM3068287	male	YN07-147	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797900	SRX3849742	cDNA	TRANSCRIPTOMIC	2018-04-04	2391	2087	Homo sapiens	SRR6900781	SRS3094240	GSM3068288	male	60705	heart (later reclassified as liver)	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797899	SRX3849743	cDNA	TRANSCRIPTOMIC	2018-04-04	2497	2117	Homo sapiens	SRR6900782	SRS3094242	GSM3068289	male	60705	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797935	SRX3849744	cDNA	TRANSCRIPTOMIC	2018-04-04	2523	2121	Homo sapiens	SRR6900783	SRS3094243	GSM3068290	male	60705	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797934	SRX3849745	cDNA	TRANSCRIPTOMIC	2018-04-04	1807	1509	Homo sapiens	SRR6900784	SRS3094245	GSM3068291	male	60705	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797932	SRX3849746	cDNA	TRANSCRIPTOMIC	2018-04-04	2631	2294	Homo sapiens	SRR6900785	SRS3094244	GSM3068292	male	61317	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797931	SRX3849747	cDNA	TRANSCRIPTOMIC	2018-04-04	1934	1620	Homo sapiens	SRR6900786	SRS3094246	GSM3068293	male	61317	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797939	SRX3849749	cDNA	TRANSCRIPTOMIC	2018-04-04	2229	1845	Homo sapiens	SRR6900787	SRS3094247	GSM3068294	male	61317	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797938	SRX3849750	cDNA	TRANSCRIPTOMIC	2018-04-11	2708	2293	Homo sapiens	SRR6900788	SRS3094248	GSM3068295	male	61317	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797972	SRX3849751	cDNA	TRANSCRIPTOMIC	2018-04-04	2160	2017	Homo sapiens	SRR6900789	SRS3094249	GSM3068296	male	62789	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797970	SRX3849752	cDNA	TRANSCRIPTOMIC	2018-04-04	2567	2340	Homo sapiens	SRR6900790	SRS3094251	GSM3068297	male	62789	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797969	SRX3849753	cDNA	TRANSCRIPTOMIC	2018-04-04	2732	2470	Homo sapiens	SRR6900791	SRS3094250	GSM3068298	male	62789	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797968	SRX3849754	cDNA	TRANSCRIPTOMIC	2018-04-04	2644	2399	Homo sapiens	SRR6900792	SRS3094252	GSM3068299	male	62789	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797967	SRX3849755	cDNA	TRANSCRIPTOMIC	2018-04-04	2608	2308	Homo sapiens	SRR6900793	SRS3094254	GSM3068300	male	62905	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797965	SRX3849756	cDNA	TRANSCRIPTOMIC	2018-04-04	3012	2650	Homo sapiens	SRR6900794	SRS3094253	GSM3068301	male	62905	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797964	SRX3849757	cDNA	TRANSCRIPTOMIC	2018-04-04	2774	2537	Homo sapiens	SRR6900795	SRS3094256	GSM3068302	male	62905	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797962	SRX3849758	cDNA	TRANSCRIPTOMIC	2018-04-04	3231	2931	Homo sapiens	SRR6900796	SRS3094257	GSM3068303	male	62905	lung	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797961	SRX3849759	cDNA	TRANSCRIPTOMIC	2018-04-04	1769	1503	Macaca mulatta	SRR6900797	SRS3094255	GSM3068304	male	YN07-314	heart	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797960	SRX3849760	cDNA	TRANSCRIPTOMIC	2018-04-04	1666	1387	Macaca mulatta	SRR6900798	SRS3094258	GSM3068305	male	YN07-314	kidney	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
RNA-Seq	50	SAMN08797958	SRX3849761	cDNA	TRANSCRIPTOMIC	2018-04-04	1802	1487	Macaca mulatta	SRR6900799	SRS3094260	GSM3068306	male	YN07-314	liver	PRJNA445737	GEO	public	sra	ncbi	0	Illumina HiSeq 2500	SINGLE	ILLUMINA	2018-09-25	SRP136499	post mortem frozen tissue
